Status,zpid,Address,City,Zip,Beds,Baths,Square,Zestimate,Sale,Longitude,Latitude,Days,Views,Saves,LastSoldDate,LastSoldPrice,Feature,Date
status,15758423,721 Link Ln,Santa Rosa,CA 95401,3 beds,2 baths,1105 sqft,,490000,-122.734011,38.439954,6,1454,38,Sep-15,405000,Type:Single Family;Year Built:1959;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:5662 sqft;Days on Zillow:6 Days;Price/sqft:$443;Saves:38;Past 12 months:,2018/4/27
status,15787190,131 Faught Ct,Santa Rosa,CA 95403,2 beds,2 baths,1212 sqft,383302,479000,-122.760681,38.511709,3,567,13,Jan-18,380050,Type:Condo;Year Built:1994;Heating:No Data;Cooling:No Data;Parking:No Data;HOA:$300/month;Days on Zillow:3 Days;Price/sqft:$395;Saves:13;Past 12 months:,2018/4/27
status,15747890,1236 Jean Dr,Sebastopol,CA 95472,3 beds,2 baths,1604 sqft,855958,829000,-122.825845,38.386136,14,2214,44,N/A,N/A,Type:Single Family;Year Built:1979;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:0.42 acres;Days on Zillow:14 Days;Price/sqft:$517;Saves:44;Past 12 months:,2018/4/27
status,15804255,507 Ragle Rd,Sebastopol,CA 95472,3 beds,1 bath,1346 sqft,889003,880000,-122.844774,38.406196,7,2183,74,Oct-12,450000,Type:Single Family;Year Built:1953;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:1.4 acres;Days on Zillow:7 Days;Price/sqft:$654;Saves:74;Past 12 months:,2018/4/27
status,19275629,71 Roberts Rd,Inverness,CA 94937,3 beds,1 bath,#NAME?,1319560,1150000,-122.837896,38.079514,2,499,19,N/A,N/A,Type:Single Family;Year Built:1987;Heating:;Cooling:;Parking:No Data;Lot:3.72 acres;Days on Zillow:2 Days;Price/sqft:,2018/4/27
status,15821788,20090 Oyster Catcher Loop,Bodega Bay,CA 94923,3 beds,4 baths,3161 sqft,,1595000,-123.01219,38.305514,2,588,10,Apr-04,1200000,Type:Single Family;Year Built:1987;Heating:Other;Cooling:No Data;Parking:Attached Garage;Lot:6969 sqft;Days on Zillow:2 Days;Price/sqft:$505;Saves:10;Past 12 months:,2018/4/27
status,19798392,6112 Montgomery Ct,San Jose,CA 95135,3 beds,2 baths,1740 sqft,803111,729000,-121.75574,37.288399,8,2751,43,Mar-08,490000,Type:Single Family;Year Built:1973;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:2552 sqft;Days on Zillow:8 Days;Price/sqft:$419,2018/4/27
status,19405623,5131 Saint Helena Hwy,Napa,CA 94558,2 beds,1 bath,1492 sqft,,950000,-122.335158,38.35735,2,698,22,N/A,N/A,Type:Single Family;Year Built:1918;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:1.11 acres;Days on Zillow:2 Days;Price/sqft:$637;Saves:22;Past 12 months:,2018/4/27
status,18541305,3315 Humphrey Ave,Richmond,CA 94804,3 beds,1 bath,1137 sqft,469573,439000,-122.335028,37.94883,2,236,14,Jan-12,195000,Type:Single Family;Year Built:1951;Heating:;Cooling:;Parking:No Data;Lot:2500 sqft;Days on Zillow:2 Days;Price/sqft:$386,2018/4/27
status,15757662,637 B St,Santa Rosa,CA 95401,2 beds,1 bath,1016 sqft,(4/23),544950,-122.718979,38.444976,28,3037,83,Jan-07,900000,Type:Single Family;Year Built:1920;Heating:No Data;Cooling:No Data;Parking:Off street On street;Lot:3920 sqft;Days on Zillow:28 Days;Price/sqft:$536;Saves:83;Past 12 months:,2018/4/27
status,18541051,761 33rd St,Richmond,CA 94804,3 beds,2 baths,1561 sqft,572278,549000,-122.336094,37.943079,1,438,28,May-03,400000,Type:Single Family;Year Built:1951;Heating:;Cooling:;Parking:2 spaces;Lot:5000 sqft;Days on Zillow:1 Day;Price/sqft:$352,2018/4/27
status,15866920,936 Pacific Ave,Santa Rosa,CA 95404,3 beds,2 baths,1217 sqft,,550000,-122.711123,38.452974,10,2389,47,Mar-03,325000,Type:Single Family;Year Built:1946;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:6969 sqft;Days on Zillow:10 Days;Price/sqft:$452;Saves:47;Past 12 months:,2018/4/27
status,2090292068,Residence Two Plan Fox Hollow,Santa Rosa,CA 95403,3 beds,3 baths,2183 sqft,827971,674990,-122.769653,38.458766,1,50,15,N/A,N/A,Type:Single Family;Year Built:2018;Heating:;Cooling:;Parking:2 spaces;Lot:;Days on Zillow:1 Day;Price/sqft:$309,2018/4/27
status,68545737,112 Mcbrown Rd,Petaluma,CA 94952,4 beds,5 baths,2993 sqft,1355016,1199000,-122.703545,38.268171,10,2222,75,May-04,430000,Type:Single Family;Year Built:2006;Heating:Stove;Cooling:Solar;Parking:3 spaces;Lot:5 acres;Days on Zillow:10 Days;Price/sqft:$401,2018/4/27
status,18276309,1110 Discovery Bay Blvd,Discovery Bay,CA 94505,4 beds,3 baths,2144 sqft,670672,769000,-121.600623,37.909494,Less than 1,15,N/A,Jun-15,699000,Type:Single Family;Year Built:1997;Heating:Forced air;Cooling:Central;Parking:Attached Garage;Lot:7200 sqft;Days on Zillow:Less than 1 day;Price/sqft:$359,2018/4/27
status,15865229,847 Strawberry Dr,Santa Rosa,CA 95404,2 beds,1 bath,720 sqft,572541,575000,-122.71419,38.467116,25,1759,41,N/A,N/A,Type:Single Family;Year Built:1950;Heating:Wall;Cooling:None;Parking:2 spaces;Lot:0.35 acres;Days on Zillow:25 Days;Price/sqft:$799;Saves:41;Past 12 months:,2018/4/27
status,15823724,461 Pepper Ln,Petaluma,CA 94952,3 beds,4 baths,2860 sqft,1552173,1650000,-122.733789,38.282976,6,1414,28,Nov-98,180000,Type:Single Family;Year Built:2000;Heating:Radiant;Cooling:Other Solar;Parking:10 spaces;Lot:5 acres;Days on Zillow:6 Days;Price/sqft:$577,2018/4/27
status,15783561,2528 Westberry Dr,Santa Rosa,CA 95403,2 beds,1 bath,994 sqft,320384,346000,-122.737589,38.45605,8,730,6,Apr-04,243000,Type:Condo;Year Built:1984;Heating:Forced air;Cooling:No Data;Parking:No Data;HOA:$360/month;Days on Zillow:8 Days;Price/sqft:$348;Saves:6;Past 12 months:,2018/4/27
status,95758972,1 Lafranchi Ln Nicasio,CA 94946,undefined,3 beds,3 baths,3400 sqft,,2500000,-122.701512,38.061698,14,1553,31,May-13,325000,Type:Single Family;Year Built:2018;Heating:No Data;Cooling:No Data;Parking:No Data;Lot:4.24 acres;Days on Zillow:14 Days;Price/sqft:$735;Saves:31,2018/4/27
